Title,Genre,In Theaters,Critics Score,Number of Critic Ratings,Audience Score,Number of User Ratings,Budget,Box Office US & Canada,Box Office Worldwide,Runtime Minutes,Synopsis,Critics Consensus,Studio,Content Rating,URL
12 Years a Slave,Drama,2013-10-18,95%,359,90%,140025,"$22,000,000 ","$50,628,650 ","$187,000,000 ",134,"Chiwetel Ejiofor stars as Solomon Northup, the New York State citizen who was kidnapped and made to work on a plantation in New Orleans in the 1800s. Steve McQueen (Hunger) directs from a script he co-wrote with John Ridley, based in part by Northup's memoir. Michael Fassbender, Brad Pitt, Benedict Cumberbatch, Sarah Paulson, and Paul Giamatti co-star. ~ Jeremy Wheeler, Rovi","It's far from comfortable viewing, but 12 Years a Slave's unflinchingly brutal look at American slavery is also brilliant -- and quite possibly essential -- cinema.",Fox Searchlight,R ,https://www.rottentomatoes.com/m/12_years_a_slave/
20 Feet From Stardom,Documentary,2013-06-14,99%,125,82%,13479,"$1,000,000 ","$4,946,445 ","$5,800,000 ",89,"Millions know their voices, but no one knows their names. In his compelling new film 20 FEET FROM STARDOM, award-winning director Morgan Neville shines a spotlight on the untold true story of the backup singers behind some of the greatest musical legends of the 21st century. Triumphant and heartbreaking in equal measure, the film is both a tribute to the unsung voices who brought shape and style to popular music and a reflection on the conflicts, sacrifices and rewards of a career spent harmonizing with others. These gifted artists span a range of styles, genres and eras of popular music, but each has a uniquely fascinating and personal story to share of life spent in the shadows of superstardom. Along with rare archival footage and a peerless soundtrack, 20 FEET FROM STARDOM boasts intimate interviews with Bruce Springsteen, Stevie Wonder, Mick Jagger and Sting to name just a few. However, these world-famous figures take a backseat to the diverse array of backup singers whose lives and stories take center stage in the film. (c) TWC-Radius","Rich, insightful, and occasionally heartbreaking, 20 Feet From Stardom is an energetic tribute to the passion, talent, and hard work of backup singers.",Radius-TWC,PG-13 ,https://www.rottentomatoes.com/m/20_feet_from_stardom/
45 Years,Drama,2015-12-23,97%,203,67%,13732,,"$3,489,919 ","$13,900,000 ",95,"There is just one week until Kate Mercer's forty-fifth wedding anniversary and the planning for the party is going well. But then a letter arrives for her husband. The body of his first love has been discovered, frozen and preserved in the icy glaciers of the Swiss Alps. By the time the party is upon them, five days later, there may not be a marriage left to celebrate.",45 Years offers richly thought-provoking rewards for fans of adult cinema -- and a mesmerizing acting showcase for leads Charlotte Rampling and Tom Courtenay.,Sundance Selects,R ,https://www.rottentomatoes.com/m/45_years/
All Is Lost,Action & Adventure,2013-10-18,94%,234,63%,40556,"$8,500,000 ","$4,300,353 ","$13,600,000 ",105,"Academy Award-nominated writer/director J.C. Chandor (Margin Call) takes the helm for this tense adventure drama about a man (Robert Redford) who must fight for survival after being lost at sea. ~ Jason Buchanan, Rovi","Anchored by another tremendous performance in a career full of them, All Is Lost offers a moving, eminently worthwhile testament to Robert Redford's ability to hold the screen.",Lionsgate/Roadside Attractions,PG-13 ,https://www.rottentomatoes.com/m/all_is_lost_2013/
Amazing Grace,Documentary,2019-04-05,99%,149,82%,291,,"$4,450,456 ","$5,790,000 ",87,Concert footage from 1972 of Aretha Franklin performing songs from the best-selling gospel album at the New Temple Missionary Baptist Church in Los Angeles.,"Brilliantly capturing a remarkable performer near the peak of her prodigious power, Amazing Grace is a thrilling must-watch documentary for Aretha Franklin fans.",NEON,G,https://www.rottentomatoes.com/m/amazing_grace_2018/
American Hustle,Drama,2013-12-20,92%,282,74%,175743,"$40,000,000 ","$99,165,609 ","$251,200,000 ",129,"A fictional film set in the alluring world of one of the most stunning scandals to rock our nation, American Hustle tells the story of brilliant con man Irving Rosenfeld (Christian Bale), who along with his equally cunning and seductive British partner Sydney Prosser (Amy Adams) is forced to work for a wild FBI agent Richie DiMaso (Bradley Cooper). DiMaso pushes them into a world of Jersey powerbrokers and mafia that's as dangerous as it is enchanting. Jeremy Renner is Carmine Polito, the passionate, volatile, New Jersey political operator caught between the con-artists and Feds. Irving's unpredictable wife Rosalyn (Jennifer Lawrence) could be the one to pull the thread that brings the entire world crashing down. Like David O. Russell's previous films, American Hustle defies genre, hinging on raw emotion, and life and death stakes. (c) Sony","Riotously funny and impeccably cast, American Hustle compensates for its flaws with unbridled energy and some of David O. Russell's most irrepressibly vibrant direction.",Sony Pictures,R ,https://www.rottentomatoes.com/m/american_hustle/
Amy,Documentary,2015-07-03,95%,214,87%,22191,"$3,400,000 ","$7,851,076 ","$23,700,000 ",128,"Despite just two albums to her name Amy Winehouse is one of the biggest music icons in British history. With a voice oft described as a combination of Billy Holiday, Dinah Washington and Sarah Vaughan, Amy Winehouse was a pop star with soul; a once in two generational musical talent whose appeal crossed cultural and demographic boundaries. But while her music made her a star, her chaotic personal life stole headlines.","As riveting as it is sad, Amy is a powerfully honest look at the twisted relationship between art and celebrity -- and the lethal spiral of addiction.",A24 Films,R ,https://www.rottentomatoes.com/m/amy_2015/
Anomalisa,Animation,2015-12-30,92%,265,71%,19579,"$8,000,000 ","$3,759,286 ","$5,700,000 ",96,A man struggles with his inability to connect with other people.,"Anomalisa marks another brilliant and utterly distinctive highlight in Charlie Kaufman's filmography, and a thought-provoking treat for fans of introspective cinema.",Starburns Industries,R ,https://www.rottentomatoes.com/m/anomalisa/
Ant-Man and the Wasp,Action & Adventure,2018-07-06,88%,408,76%,23999,"$162,000,000 ","$216,648,740 ","$622,700,000 ",118,"From the Marvel Cinematic Universe comes a new chapter featuring heroes with the astonishing ability to shrink: ""Ant-Man and The Wasp."" In the aftermath of ""Captain America: Civil War,"" Scott Lang (Rudd) grapples with the consequences of his choices as both a Super Hero and a father. As he struggles to rebalance his home life with his responsibilities as Ant-Man, he's confronted by Hope van Dyne (Lilly) and Dr. Hank Pym (Douglas) with an urgent new mission. Scott must once again put on the suit and learn to fight alongside The Wasp as the team works together to uncover secrets from their past.","A lighter, brighter superhero movie powered by the effortless charisma of Paul Rudd and Evangeline Lilly, Ant-Man and The Wasp offers a much-needed MCU palate cleanser.",Walt Disney Pictures,PG-13 ,https://www.rottentomatoes.com/m/ant_man_and_the_wasp/
Apollo 11,Documentary,2019-03-01,99%,172,90%,883,"$9,000,000 ","$9,039,891 ","$15,300,000 ",93,Apollo 11 is a cinematic space event film fifty years in the making. Featuring never-before-seen large-format film footage of one of humanity's greatest accomplishments.,"Edifying and inspiring in equal measure, Apollo 11 uses artfully repurposed archival footage to send audiences soaring back to a pivotal time in American history.",NEON,G,https://www.rottentomatoes.com/m/apollo_11_2019/
Argo,Mystery & Suspense,2012-10-12,96%,350,90%,208496,"$44,500,000 ","$136,019,448 ","$232,300,000 ",120,"Based on true events, Argo chronicles the life-or-death covert operation to rescue six Americans, which unfolded behind the scenes of the Iran hostage crisis-the truth of which was unknown by the public for decades. On November 4, 1979, as the Iranian revolution reaches its boiling point, militants storm the U.S. embassy in Tehran, taking 52 Americans hostage. But, in the midst of the chaos, six Americans manage to slip away and find refuge in the home of the Canadian ambassador. Knowing it is only a matter of time before the six are found out and likely killed, a CIA ""exfiltration"" specialist named Tony Mendez (Ben Affleck) comes up with a risky plan to get them safely out of the country. A plan so incredible, it could only happen in the movies. -- (C) Warner Bros.","Tense, exciting, and often darkly comic, Argo recreates a historical event with vivid attention to detail and finely wrought characters.",Warner Bros. Pictures,R ,https://www.rottentomatoes.com/m/argo_2012/
Arrival,Fantasy & Science Fiction,2016-11-11,94%,413,82%,82647,"$47,000,000 ","$100,501,349 ","$203,400,000 ",116,"When mysterious spacecraft touch down across the globe, an elite team--lead by expert linguist Louise Banks (Amy Adams)--are brought together to investigate. As mankind teeters on the verge of global war, Banks and the team race against time for answers--and to find them, she will take a chance that could threaten her life, and quite possibly humanity.",Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,21 Laps Entertainment,PG-13 ,https://www.rottentomatoes.com/m/arrival_2016/
Ash Is Purest White,Drama,2019-03-15,99%,145,67%,151,,"$422,814 ","$12,000,000 ",136,"A tragicomedy initially set in the jianghu-criminal underworld-setting, ASH IS PUREST WHITE is less a gangster movie than a melodrama. With a three-part structure, it begins by following the quick-witted Qiao (Tao Zhao) and her mobster boyfriend Bin (Fan Liao) as they stake out their turf against rivals and upstarts in 2001 postindustrial Datong before expanding out into an epic narrative of how abstract forces shape individual lives, and continues Jia Zhangke's body of work as a record of 21st-century China and its warp-speed transformations.","Ash Is Purest White finds writer-director Zhangke Jia revisiting familiar themes while continuing to observe modern Chinese society with an urgent, empathetic eye.",Cohen Media Group,NR,https://www.rottentomatoes.com/m/ash_is_purest_white/
